,Unnamed: 0,full_name,num_games,season,turner_name,avg_minutes,avg_two_points_made_pm,avg_field_goals_miss_pm,avg_three_points_made_pm,avg_free_throws_made_pm,avg_free_throws_miss_pm,avg_off_rebounds_pm,avg_def_rebounds_pm,avg_assists_pm,avg_turnovers_pm,avg_steals_pm,avg_block_pm,avg_personal_fouls_pm,PER,avg_points_pm,avg_rebounds_pm
42,9215,Jarrod Uthoff,33,2015,University of Iowa,31.51515151515152,0.14615384615384613,0.2586538461538461,0.06346153846153846,0.11730769230769232,0.026923076923076918,0.04615384615384616,0.15480769230769226,0.03461538461538462,0.03653846153846154,0.030769230769230767,0.08269230769230766,0.04903846153846153,13.9,0.6,0.2009615384615384
43,9318,Damian Jones,33,2015,Vanderbilt University,26.24242424242424,0.21247113163972287,0.14780600461893767,0.0,0.10392609699769054,0.09006928406466515,0.08545034642032333,0.17667436489607394,0.04387990762124714,0.07505773672055427,0.009237875288683604,0.06235565819861433,0.12471131639722867,5.3,0.5288683602771362,0.26212471131639725
44,9348,Patrick McCaw,33,2015,"University of Nevada, Las Vegas",33.72727272727272,0.08984725965858043,0.17340521114106028,0.061096136567834684,0.07367475292003595,0.02156334231805931,0.03414195867026057,0.11859838274932614,0.11500449236298292,0.061096136567834684,0.07277628032345014,0.011680143755615454,0.0655884995507637,8.6,0.4366576819407008,0.1527403414195867
46,9461,Treveon Graham,33,2014,Virginia Commonwealth University,29.393939393939394,0.11134020618556699,0.23711340206185566,0.06597938144329897,0.12886597938144329,0.05773195876288659,0.07525773195876287,0.16701030927835048,0.054639175257731966,0.03917525773195876,0.020618556701030924,0.00927835051546392,0.06907216494845361,10.6,0.5494845360824742,0.24226804123711335
47,9517,Jarell Martin,33,2014,Louisiana State University,35.121212121212125,0.16220880069025015,0.16824849007765313,0.012079378774805869,0.12079378774805866,0.0543572044866264,0.08455565142364108,0.17860224331320107,0.05090595340811044,0.07937877480586712,0.03278688524590165,0.01984469370146678,0.07937877480586712,11.35,0.48144952545297653,0.26315789473684215
48,9545,Tim Quarterman,33,2015,Louisiana State University,28.84848484848485,0.07352941176470587,0.17436974789915954,0.050420168067226885,0.08823529411764706,0.05147058823529413,0.054621848739495785,0.1060924369747899,0.12605042016806725,0.05567226890756302,0.033613445378151266,0.013655462184873946,0.08298319327731091,10.2,0.38655462184873945,0.1607142857142857
49,9630,Bryce Dejean-Jones,33,2014,Iowa State University,23.03030303030304,0.1210526315789473,0.17236842105263153,0.03552631578947367,0.10921052631578944,0.04210526315789472,0.0513157894736842,0.15263157894736834,0.0921052631578947,0.06447368421052631,0.04605263157894735,0.0131578947368421,0.07499999999999997,9.6,0.457894736842105,0.20394736842105254
50,9653,Kris Dunn,33,2015,Providence College,32.96969696969697,0.13051470588235295,0.20863970588235287,0.03860294117647059,0.12132352941176468,0.05330882352941176,0.03308823529411764,0.12867647058823525,0.18933823529411767,0.10661764705882353,0.07536764705882354,0.018382352941176468,0.08547794117647058,8.1,0.4981617647058823,0.1617647058823529
51,9691,Christian Wood,33,2014,"University of Nevada, Las Vegas",32.66666666666667,0.15027829313543595,0.17532467532467524,0.023191094619666043,0.11131725417439704,0.039888682745825584,0.08719851576994432,0.2179962894248608,0.0398886827458256,0.07328385899814469,0.010204081632653057,0.08348794063079777,0.0797773654916512,15.75,0.48144712430426706,0.30519480519480513
52,9732,Tyler Ennis,34,2013,Syracuse University,35.73529411764706,0.09711934156378603,0.17448559670781896,0.02469135802469136,0.09382716049382717,0.02880658436213992,0.022222222222222227,0.07242798353909466,0.15473251028806587,0.047736625514403296,0.05925925925925925,0.0049382716049382715,0.056790123456790124,9.457142857142856,0.3621399176954733,0.09465020576131689
53,9739,Pascal Siakam,34,2015,New Mexico State University,34.50000000000001,0.2318840579710144,0.20034100596760446,0.002557544757033248,0.11679454390451832,0.05541346973572036,0.11253196930946288,0.22506393861892574,0.049445865302642784,0.05797101449275361,0.028985507246376805,0.06479113384484228,0.07843137254901959,11.5,0.588235294117647,0.3375959079283886
54,9759,Malik Beasley,34,2015,Florida State University,29.8235294117647,0.1282051282051282,0.20512820512820515,0.0542406311637081,0.10256410256410256,0.02366863905325444,0.04339250493096648,0.1341222879684418,0.05029585798816568,0.058185404339250485,0.031558185404339266,0.005917159763313614,0.07396449704142012,13.7,0.5216962524654832,0.1775147928994083
55,9766,Myles Turner,34,2014,University of Texas at Austin,22.205882352941174,0.13245033112582782,0.18543046357615892,0.022516556291390728,0.12450331125827815,0.023841059602649,0.058278145695364235,0.2357615894039736,0.026490066225165563,0.06225165562913908,0.01324503311258278,0.11788079470198674,0.1086092715231788,16.95,0.45695364238410596,0.29403973509933784
56,9858,Sean Kilpatrick,34,2013,University of Cincinnati,33.73529411764706,0.10549258936355713,0.25457715780296425,0.08108108108108106,0.15693112467306014,0.028770706190061036,0.03138622493461203,0.0959023539668701,0.07497820401046207,0.061028770706190075,0.041848299912816064,0.0008718395815170009,0.040104620749782036,12.68,0.6111595466434175,0.12728857890148212
57,9881,Semaj Christon,34,2013,Xavier University,35.29411764705883,0.15166666666666667,0.1825,0.01583333333333333,0.1308333333333333,0.065,0.0125,0.06333333333333332,0.11833333333333332,0.07416666666666666,0.037500000000000006,0.006666666666666668,0.06,5.7,0.48166666666666663,0.07583333333333332
58,9887,Markel Brown,34,2013,Oklahoma State University,35.3235294117647,0.11240632805995007,0.17651956702747718,0.04579517069109077,0.12406328059950045,0.03746877601998335,0.029975020815986686,0.119067443796836,0.08243130724396337,0.04579517069109077,0.0283097418817652,0.029142381348875944,0.07160699417152372,10.2,0.4862614487926729,0.14904246461282267
59,10029,Travis Wear,34,2013,"University of California, Los Angeles",23.882352941176467,0.11576354679802955,0.1145320197044335,0.013546798029556648,0.030788177339901482,0.006157635467980296,0.04064039408866995,0.09236453201970443,0.06034482758620691,0.016009852216748766,0.030788177339901475,0.028325123152709363,0.12807881773399016,8.5,0.3029556650246305,0.1330049261083744
60,10070,Shawn Long,34,2015,University of Louisiana at Lafayette,30.64705882352941,0.20537428023032628,0.20249520153550868,0.01727447216890595,0.15355086372360846,0.07197696737044146,0.13147792706333974,0.26295585412667943,0.04510556621880999,0.08829174664107484,0.023032629558541268,0.058541266794625714,0.09117082533589252,24.1,0.6161228406909789,0.39443378119001915
61,10086,Isaiah Whitehead,34,2015,Seton Hall University,32.29411764705882,0.10291438979963573,0.2896174863387979,0.07377049180327869,0.13570127504553733,0.042805100182149385,0.016393442622950824,0.09471766848816032,0.15755919854280512,0.10837887067395267,0.03642987249544627,0.04462659380692169,0.07103825136612021,7.5,0.5628415300546449,0.11111111111111115
62,10105,Marquese Chriss,34,2015,University of Washington,24.94117647058824,0.18632075471698112,0.18749999999999994,0.024764150943396224,0.10377358490566037,0.04834905660377357,0.10023584905660372,0.11556603773584904,0.030660377358490563,0.08136792452830187,0.03773584905660377,0.06485849056603772,0.16273584905660374,12.3,0.5507075471698113,0.21580188679245277
63,10136,Dejounte Murray,34,2015,University of Washington,33.5,0.14749780509218616,0.2493415276558385,0.02985074626865672,0.09657594381035996,0.04916593503072871,0.0421422300263389,0.13608428446005266,0.13257243195785773,0.09657594381035996,0.05443371378402107,0.00877963125548727,0.07901668129938545,9.6,0.4811237928007024,0.17822651448639157
