,full_name,num_games,season,turner_name,avg_minutes,avg_two_points_made_pm,avg_field_goals_miss_pm,avg_three_points_made_pm,avg_free_throws_made_pm,avg_free_throws_miss_pm,avg_off_rebounds_pm,avg_def_rebounds_pm,avg_assists_pm,avg_turnovers_pm,avg_steals_pm,avg_block_pm,avg_personal_fouls_pm
2256,Martez Harrison,6,2016,University of Missouri-Kansas City,30.5,0.1530054644808743,0.16939890710382513,0.03825136612021858,0.12021857923497267,0.02185792349726776,0.021857923497267763,0.07103825136612021,0.13114754098360656,0.10382513661202185,0.07650273224043716,0.005464480874316941,0.09289617486338797
2257,J'Mychal Reese,6,2013,"Texas A&M University, College Station",15.999999999999998,0.12500000000000003,0.17708333333333337,0.03125000000000001,0.09375000000000001,0.04166666666666668,0.02083333333333334,0.10416666666666669,0.06250000000000001,0.12500000000000003,0.031250000000000014,0.020833333333333336,0.12500000000000003
2258,Mike Kobani,6,2015,Appalachian State University,4.5,0.037037037037037035,0.07407407407407407,0.0,0.0,0.0,0.18518518518518517,0.1111111111111111,0.0,0.14814814814814814,0.0,0.0,0.29629629629629634
2259,Emmanuel Ezechinonso,6,2015,University of Tulsa,2.333333333333333,0.0,0.0,0.0,0.0,0.07142857142857145,0.0,0.2857142857142858,0.0,0.0,0.0,0.0,0.2142857142857143
2260,Deven Williams,6,2013,Savannah State University,21.5,0.09302325581395349,0.2945736434108527,0.054263565891472874,0.046511627906976744,0.01550387596899225,0.0,0.06976744186046512,0.046511627906976744,0.06976744186046512,0.0,0.0,0.046511627906976744
2261,Ethan Haslam,6,2017,University of South Alabama,3.0,0.0,0.11111111111111112,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555556,0.11111111111111112,0.0,0.05555555555555556,0.0,0.0,0.16666666666666666
2262,Asante Gist,6,2017,Eastern Kentucky University,27.5,0.0606060606060606,0.2303030303030303,0.04242424242424243,0.04242424242424242,0.048484848484848485,0.0060606060606060615,0.10303030303030301,0.09696969696969698,0.06666666666666667,0.01818181818181818,0.0,0.09696969696969697
2263,Samir Kalil,6,2014,Quinnipiac University,1.3333333333333333,0.0,0.12500000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.12500000000000003,0.0,0.0,0.0
2264,Romero Collier,6,2015,Niagara University,6.0,0.027777777777777776,0.3055555555555556,0.0,0.0,0.0,0.05555555555555556,0.0,0.08333333333333333,0.08333333333333333,0.027777777777777776,0.027777777777777776,0.05555555555555556
2265,Ethan Good,6,2017,Bowling Green State University,2.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.06666666666666668,0.06666666666666668,0.0,0.0,0.13333333333333336
2266,Riley McGillan,6,2016,Clemson University,2.5,0.06666666666666667,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.06666666666666668,0.06666666666666667,0.06666666666666668,0.0,0.06666666666666667
2267,Jermaine Davis II,6,2015,Texas Southern University,14.5,0.0,0.12643678160919541,0.011494252873563218,0.14942528735632185,0.04597701149425287,0.02298850574712644,0.11494252873563217,0.034482758620689655,0.09195402298850575,0.01149425287356322,0.0,0.11494252873563218
